"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","869","test_sign_button_exists_on_homepage[chromium]","tests.UI_tests","Tue May 05 10:51:49 UTC 2026","passed","Tue May 05 10:51:50 UTC 2026","","test_home_page","",""
"","989","test_search_no_results_parametrized[chromium-\u041e\u0447\u0435\u043d\u044c\u0414\u043b\u0438\u043d\u043d\u0430\u044f\u0421\u0442\u0440\u043e\u043a\u0430\u041a\u043e\u0442\u043e\u0440\u043e\u0439\u041d\u0435\u0442\u041d\u0430\u0421\u0430\u0439\u0442\u0435-long_string]","tests.e2e_tests","Tue May 05 10:52:34 UTC 2026","passed","Tue May 05 10:52:35 UTC 2026","","test_negative1","",""
"","1193","test_open_article_and_verify_title[chromium]","tests.e2e_tests","Tue May 05 10:52:37 UTC 2026","passed","Tue May 05 10:52:38 UTC 2026","","test_open_article_and_verify_title_e2e","",""
"","1713","test_navigate_to_tools[chromium]","tests.UI_tests","Tue May 05 10:51:56 UTC 2026","passed","Tue May 05 10:51:57 UTC 2026","","test_navigate_to_tools","",""
"","1144","test_search_for_books_with_pom[chromium]","tests.UI_tests","Tue May 05 10:52:13 UTC 2026","passed","Tue May 05 10:52:14 UTC 2026","","test_search_for_books","",""
"Негативный тест: проверка отсутствия результатов","6212","test_search_negative_no_results[chromium]","tests.UI_tests","Tue May 05 10:51:43 UTC 2026","passed","Tue May 05 10:51:49 UTC 2026","","test_for_books_new","",""
"","1293","test_open_first_book[chromium]","tests.UI_tests","Tue May 05 10:52:03 UTC 2026","passed","Tue May 05 10:52:04 UTC 2026","","test_open_first_book","",""
"Проверяет, что заголовок из UI присутствует в коде API","1508","test_latest_article_consistency[chromium]","tests.API_tests","Tue May 05 10:51:30 UTC 2026","passed","Tue May 05 10:51:32 UTC 2026","","test_api","",""
"","1789","test_login_success_simulation[chromium-test@example.com-123456]","tests.UI_tests","Tue May 05 10:52:11 UTC 2026","passed","Tue May 05 10:52:13 UTC 2026","","test_search_content","",""
"","973","test_search_no_results_parametrized[chromium-!@#$%^&*-special_chars]","tests.e2e_tests","Tue May 05 10:52:32 UTC 2026","passed","Tue May 05 10:52:33 UTC 2026","","test_negative1","",""
"","1511","test_verify_articles_api_and_ui[chromium]","tests.API_tests","Tue May 05 10:51:32 UTC 2026","passed","Tue May 05 10:51:33 UTC 2026","","test_api1","",""
"","462","test_main_page_performance","tests.API_tests","Tue May 05 10:51:28 UTC 2026","passed","Tue May 05 10:51:29 UTC 2026","","test_api","",""
"","1077","test_account_button_is_visible_after_login[chromium]","tests.UI_tests","Tue May 05 10:51:35 UTC 2026","passed","Tue May 05 10:51:36 UTC 2026","","test_account_button","",""
"Проверяет доступность подразделов сайта","1176","test_sections_availability[tag/tools-Tools]","tests.API_tests","Tue May 05 10:52:43 UTC 2026","passed","Tue May 05 10:52:44 UTC 2026","","test_api","",""
"","19700","test_search_works[chromium]","tests.UI_tests","Thu Apr 30 13:38:21 UTC 2026","failed","Thu Apr 30 13:38:41 UTC 2026","TestNavigation","test_login","",""
"","877","test_newsletter_subscription_page_load[chromium]","tests.UI_tests","Tue May 05 10:52:02 UTC 2026","passed","Tue May 05 10:52:03 UTC 2026","","test_newsletter_subscription","",""
"","2997","test_search_flow_debug[chromium]","tests.e2e_tests","Tue May 05 10:52:15 UTC 2026","passed","Tue May 05 10:52:18 UTC 2026","","test_about_flow","",""
"","1072","test_search_opens[chromium]","tests.UI_tests","Tue May 05 10:52:14 UTC 2026","passed","Tue May 05 10:52:15 UTC 2026","","test_search_opens","",""
"","3894","test_navigate_to_books[chromium]","tests.UI_tests","Thu Apr 30 13:38:17 UTC 2026","passed","Thu Apr 30 13:38:21 UTC 2026","TestNavigation","test_login","",""
"","966","test_search_no_results_parametrized[chromium-\u041f\u0440\u0438\u0432\u0435\u0442\u041c\u0438\u0440-cyrillic]","tests.e2e_tests","Tue May 05 10:52:36 UTC 2026","passed","Tue May 05 10:52:37 UTC 2026","","test_negative1","",""
"","3257","test_navigation_to_books[chromium]","tests.UI_tests","Tue May 05 10:51:36 UTC 2026","passed","Tue May 05 10:51:40 UTC 2026","","test_books_page","",""
"","6703","test_search_for_books[chromium]","tests.UI_tests","Tue May 05 10:52:04 UTC 2026","passed","Tue May 05 10:52:11 UTC 2026","","test_search_books_bytitle","",""
"","3363","test_login_failed[chromium]","tests.UI_tests","Thu Apr 30 13:37:30 UTC 2026","broken","Thu Apr 30 13:37:33 UTC 2026","TestLogin","test_login","",""
"","1268","test_main_page_status","tests.API_tests","Tue May 05 10:51:26 UTC 2026","passed","Tue May 05 10:51:28 UTC 2026","","test_api","",""
"","1098","test_navigation_books_section_e2e[chromium]","tests.e2e_tests","Tue May 05 10:52:28 UTC 2026","passed","Tue May 05 10:52:29 UTC 2026","","test_navigation_books_section_e2e","",""
"","927","test_account_form_opens[chromium]","tests.e2e_tests","Tue May 05 10:52:29 UTC 2026","passed","Tue May 05 10:52:30 UTC 2026","","test_negative","",""
"","889","test_homepage_visual_layout[chromium]","tests.UI_tests","Tue May 05 10:51:57 UTC 2026","passed","Tue May 05 10:51:58 UTC 2026","","test_navigation","",""
"","987","test_search_no_results_parametrized[chromium-    -spaces]","tests.e2e_tests","Tue May 05 10:52:35 UTC 2026","passed","Tue May 05 10:52:36 UTC 2026","","test_negative1","",""
"","1420","test_search_via_iframe[chromium]","tests.e2e_tests","Tue May 05 10:52:40 UTC 2026","passed","Tue May 05 10:52:41 UTC 2026","","test_search_via_iframe","",""
"","1899","test_search_logic[chromium]","tests.UI_tests","Tue May 05 10:51:33 UTC 2026","passed","Tue May 05 10:51:35 UTC 2026","","test_AAA_search","",""
"","1037","test_navigation_menu_responsive[chromium]","tests.UI_tests","Tue May 05 10:51:58 UTC 2026","passed","Tue May 05 10:51:59 UTC 2026","","test_navigation","",""
