"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3777","test_open_article_and_verify_title[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_open_article_and_verify_title_e2e","",""
"Проверяет, что заголовок из UI присутствует в коде API","3587","test_latest_article_consistency[chromium]","tests.API_tests","2026-04-23","passed","2026-04-23","","test_api","",""
"","3748","test_search_no_results_parametrized[chromium-    -spaces]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_negative1","",""
"","3065","test_verify_articles_api_and_ui[chromium]","tests.API_tests","2026-04-23","passed","2026-04-23","","test_api1","",""
"","3852","test_e2e_open_article[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_search_e2e","",""
"","3350","test_account_button_is_visible_after_login[chromium]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_account_button","",""
"","775","test_main_page_status","tests.API_tests","2026-04-23","passed","2026-04-23","","test_api","",""
"","3991","test_search_no_results_parametrized[chromium-\u041e\u0447\u0435\u043d\u044c\u0414\u043b\u0438\u043d\u043d\u0430\u044f\u0421\u0442\u0440\u043e\u043a\u0430\u041a\u043e\u0442\u043e\u0440\u043e\u0439\u041d\u0435\u0442\u041d\u0430\u0421\u0430\u0439\u0442\u0435-long_string]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_negative1","",""
"","3698","test_login_short[chromium-your@email.com]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_login","",""
"","5257","test_search_logic[chromium]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_AAA_search","",""
"","4388","test_navigate_to_tools[chromium]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_navigate_to_tools","",""
"Проверяет доступность подразделов сайта","443","test_sections_availability[tag/tools-Tools]","tests.API_tests","2026-04-23","passed","2026-04-23","","test_api","",""
"","377","test_main_page_performance","tests.API_tests","2026-04-23","passed","2026-04-23","","test_api","",""
"","6350","test_independent_flow[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_independent_flow","",""
"","415","test_main_page_content_integrity","tests.API_tests","2026-04-23","passed","2026-04-23","","test_api","",""
"","3706","test_search_no_results[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_negative","",""
"","10023","test_search_for_books[chromium]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_search_books_bytitle","",""
"","2893","test_home_has_books[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_homepage_displays_book_cards","",""
"","3577","test_homepage_visual_layout[chromium]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_navigation","",""
"","471","test_main_page_headers","tests.API_tests","2026-04-23","passed","2026-04-23","","test_api","",""
"","3607","test_sign_button_exists_on_homepage[chromium]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_home_page","",""
"","5862","test_navigation_to_books[chromium]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_books_page","",""
"","4241","test_search_clear[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_negative","",""
"","3301","test_navigation_books_section_e2e[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_navigation_books_section_e2e","",""
"Проверяет доступность подразделов сайта","696","test_sections_availability[books-Books]","tests.API_tests","2026-04-23","passed","2026-04-23","","test_api","",""
"Позитивный тест: должен пройти со словом AI","6123","test_search_valid_book[chromium]","tests.UI_tests","2026-04-23","passed","2026-04-23","","test_for_books_new","",""
"","3305","test_account_form_opens[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_negative","",""
"","8598","test_full_navigation_e2e[chromium]","tests.e2e_tests","2026-04-23","passed","2026-04-23","","test_e2e_flow","",""
